x,SO₂
439.0,234.0
440.0,234.0
441.0,235.0
442.0,236.5
443.0,236.5
444.0,236.5
445.0,235.5
446.0,235.0
447.0,235.0
448.0,235.5
449.0,233.5
450.0,233.0
451.0,233.5
452.0,235.0
453.0,236.0
454.0,236.5
455.0,235.0
456.0,233.0
457.0,230.0
458.0,230.0
459.0,231.0
460.0,234.5
461.0,235.0
462.0,236.5
463.0,236.5
464.0,236.5
465.0,235.5
466.0,235.5
467.0,235.0
468.0,234.5
469.0,233.5
470.0,234.5
471.0,234.5
472.0,235.0
473.0,235.0
474.0,234.0
475.0,232.5
476.0,234.0
477.0,237.0
478.0,238.5
479.0,239.0
480.0,239.5
481.0,239.5
482.0,239.5
483.0,238.5
484.0,238.0
485.0,237.0
486.0,237.5
487.0,237.0
488.0,238.0
489.0,238.5
490.0,239.0
491.0,239.5
492.0,238.5
493.0,238.5
494.0,238.5
495.0,239.0
496.0,237.5
497.0,236.0
498.0,236.5
499.0,236.5
500.0,237.0
501.0,238.5
502.0,238.5
503.0,238.5
504.0,237.5
505.0,236.5
506.0,236.5
507.0,236.5
508.0,237.0
509.0,238.0
510.0,238.5
511.0,238.5
512.0,238.5
513.0,238.5
514.0,238.5
515.0,239.0
516.0,238.5
517.0,238.5
518.0,238.5
519.0,238.5
520.0,238.5
521.0,238.5
522.0,238.5
523.0,238.5
524.0,238.5
525.0,238.5
526.0,238.5
527.0,239.5
528.0,239.5
529.0,239.0
530.0,238.5
531.0,238.5
532.0,238.5
533.0,239.0
534.0,239.0
535.0,238.5
536.0,239.0
537.0,239.5
538.0,239.5
539.0,239.5
540.0,239.5
541.0,239.5
542.0,239.5
543.0,239.5
544.0,238.5
545.0,239.0
546.0,239.0
547.0,238.5
548.0,238.5
549.0,238.0
550.0,237.0
551.0,236.5
552.0,236.5
553.0,236.5
554.0,234.5
555.0,233.5
556.0,234.5
557.0,236.0
558.0,237.0
559.0,238.0
560.0,238.5
561.0,238.5
562.0,238.5
563.0,239.0
