x,pixel space,Mixing_depth_(m)
112.0,180.8,106.09625668449179
113.0,180.8,106.09625668449179
114.0,180.8,106.09625668449179
115.0,180.75,106.95187165775401
116.0,180.75,106.95187165775401
117.0,180.0,119.78609625668449
118.0,180.0,119.78609625668449
119.0,179.2,133.4759358288772
120.0,179.2,133.4759358288772
121.0,179.2,133.4759358288772
122.0,180.0,119.78609625668449
123.0,180.0,119.78609625668449
124.0,180.0,119.78609625668449
125.0,180.0,119.78609625668449
126.0,180.0,119.78609625668449
127.0,180.0,119.78609625668449
128.0,179.33333333333334,131.19429590017808
129.0,178.5,145.45454545454547
130.0,177.6,160.85561497326213
131.0,176.8,174.54545454545436
132.0,173.0,239.57219251336898
133.0,172.0,256.6844919786096
134.0,171.0,273.7967914438502
135.0,170.5,282.3529411764706
136.0,168.5,316.5775401069519
137.0,167.5,333.6898395721925
138.0,166.0,359.3582887700535
139.0,164.5,385.0267379679144
140.0,162.5,419.2513368983957
141.0,158.0,496.25668449197866
142.0,156.5,521.9251336898396
143.0,151.55555555555554,606.5359477124185
144.0,145.27272727272728,714.0495867768593
145.0,134.30769230769232,901.6865487453721
146.0,129.6,982.245989304813
147.0,125.44444444444444,1053.357100415924
148.0,121.0,1129.4117647058824
149.0,125.1,1059.251336898396
150.0,127.34615384615384,1020.8144796380092
151.0,134.5,898.3957219251338
152.0,138.0,838.5026737967914
153.0,157.78571428571428,499.9236058059589
154.0,172.77777777777777,243.374925727867
155.0,173.2941176470588,234.53916325888665
156.0,175.3846153846154,198.76593994241048
157.0,180.8,106.09625668449179
158.0,181.6,92.40641711229956
159.0,181.6,92.40641711229956
160.0,182.4,78.71657754010685
161.0,183.2,65.02673796791464
162.0,183.5,59.893048128342244
163.0,184.0,51.33689839572193
164.0,183.75,55.61497326203209
165.0,183.75,55.61497326203209
166.0,183.2,65.02673796791464
167.0,183.2,65.02673796791464
168.0,183.0,68.44919786096256
169.0,182.4,78.71657754010685
170.0,183.2,65.02673796791464
171.0,183.2,65.02673796791464
172.0,183.75,55.61497326203209
173.0,184.0,51.33689839572193
174.0,184.5,42.780748663101605
175.0,184.5,42.780748663101605
182.0,184.5,42.780748663101605
183.0,184.5,42.780748663101605
184.0,184.0,51.33689839572193
185.0,183.5,59.893048128342244
186.0,182.66666666666666,74.1532976827096
187.0,181.83333333333334,88.41354723707649
188.0,181.0,102.67379679144386
189.0,180.16666666666666,116.93404634581121
190.0,178.71428571428572,141.78762414056519
191.0,177.85714285714286,156.4553093964858
192.0,177.0,171.12299465240642
193.0,176.14285714285714,185.79067990832704
194.0,173.0,239.57219251336898
195.0,172.0,256.6844919786096
196.0,170.5,282.3529411764706
197.0,169.0,308.02139037433153
198.0,168.0,325.1336898395722
199.0,167.5,333.6898395721925
201.0,166.5,350.8021390374331
202.0,165.5,367.9144385026738
203.0,165.5,367.9144385026738
204.0,164.5,385.0267379679144
205.0,164.0,393.5828877005348
206.0,163.5,402.13903743315507
207.0,163.5,402.13903743315507
211.0,162.5,419.2513368983957
212.0,162.5,419.2513368983957
213.0,163.0,410.69518716577545
214.0,164.0,393.5828877005348
215.0,165.0,376.4705882352941
216.0,167.0,342.24598930481284
217.0,168.0,325.1336898395722
218.0,169.0,308.02139037433153
219.0,170.5,282.3529411764706
220.0,171.5,265.24064171122996
221.0,172.5,248.12834224598933
222.0,176.0,188.23529411764704
