x,Wind_speed_(m/s)
130.0,4.419786096256685
131.0,4.331550802139038
132.0,4.315508021390374
133.0,4.299465240641711
134.0,4.05736509479825
135.0,4.042780748663102
136.0,4.1239383453916325
137.0,4.1465869770368045
138.0,4.269385026737968
139.0,4.379679144385027
140.0,4.588235294117647
141.0,4.524064171122995
142.0,4.4962566844919785
143.0,4.228877005347593
144.0,4.081283422459893
145.0,3.910160427807486
146.0,3.856283422459893
147.0,3.741670094611271
148.0,4.0616546083674105
149.0,4.237299465240642
150.0,4.411764705882353
151.0,4.48051948051948
152.0,4.871657754010696
153.0,4.925133689839572
154.0,4.973262032085561
155.0,5.021390374331551
156.0,5.062114356232003
157.0,5.133689839572193
158.0,5.149732620320855
159.0,5.165775401069519
160.0,5.245989304812834
161.0,5.27807486631016
162.0,5.149732620320855
163.0,5.088770053475936
164.0,5.039438502673797
165.0,4.989304812834225
166.0,4.877005347593583
167.0,4.973262032085561
168.0,5.028877005347593
169.0,5.085561497326203
170.0,5.108021390374331
171.0,5.165775401069519
172.0,5.133689839572193
173.0,5.133689839572193
174.0,5.244755244755244
175.0,5.291825821237586
176.0,5.21711229946524
177.0,5.2078877005347595
178.0,5.143562320032909
179.0,4.931739540736081
180.0,4.640065816536405
181.0,4.706550802139038
182.0,4.732620320855615
183.0,4.822860962566845
184.0,4.9298521547656495
185.0,5.069518716577541
186.0,4.995910663730733
187.0,4.9755538579067995
188.0,4.965857671740025
189.0,4.965857671740025
190.0,4.9618029029793735
191.0,4.986096256684492
192.0,5.017688194158782
193.0,4.584460522176785
194.0,4.443850267379679
195.0,4.003145643284052
196.0,3.825731362063542
197.0,3.481283422459893
198.0,3.5709342560553634
199.0,3.5912910618792973
200.0,3.595470273670966
201.0,3.6356951871657754
202.0,3.7800802139037435
203.0,3.8449197860962565
204.0,3.868601986249045
205.0,3.916325888644228
206.0,3.963636363636364
207.0,4.003819709702063
208.0,3.95392842451666
209.0,3.834224598930481
210.0,3.485867074102368
211.0,3.378856437679967
212.0,3.469251336898396
213.0,3.5550802139037434
214.0,3.7332494495124253
215.0,3.9068889587920728
216.0,4.235294117647059
217.0,4.2411278561011185
218.0,4.336134453781512
219.0,4.299465240641711
220.0,4.283422459893048
221.0,4.299465240641711
222.0,4.316577540106952
223.0,4.358700123406006
224.0,4.454230890217049
225.0,4.517188693659282
226.0,4.668449197860962
227.0,4.7090279962252275
228.0,4.7967914438502675
229.0,4.828877005347594
230.0,4.925133689839572
231.0,5.04483751542575
232.0,5.113944878650761
233.0,5.13598166539343
234.0,5.155902920608803
235.0,5.158371040723982
236.0,5.117647058823529
237.0,5.085561497326203
238.0,5.037433155080214
239.0,4.997326203208556
240.0,4.925133689839572
241.0,4.909090909090909
242.0,4.787878787878788
243.0,4.716577540106952
244.0,4.6918963389551624
245.0,4.608861726508785
246.0,4.543809132044426
247.0,4.363636363636363
248.0,4.315508021390374
249.0,4.283422459893048
250.0,4.267379679144385
251.0,4.251336898395722
252.0,4.235294117647059
253.0,4.251336898395722
254.0,4.151871657754011
255.0,4.101118133203695
256.0,4.067461949814891
257.0,4.067461949814891
258.0,4.067461949814891
259.0,4.171122994652406
260.0,4.233406731676627
261.0,4.379679144385027
262.0,4.312676942434727
263.0,4.283422459893048
264.0,4.377896613190731
265.0,4.37566844919786
266.0,4.497994652406417
267.0,4.596256684491978
268.0,4.780748663101604
269.0,4.828877005347594
270.0,4.882352941176471
271.0,4.738790621143562
272.0,4.668449197860962
273.0,4.636363636363637
274.0,4.560733384262797
275.0,4.331550802139038
276.0,4.5043192102015635
277.0,4.607980255039078
278.0,4.558155080213903
279.0,4.51651462724127
280.0,4.540106951871658
281.0,4.46524064171123
282.0,4.171122994652406
283.0,4.505347593582887
284.0,4.548745372274784
285.0,4.645530939648586
286.0,4.7830404889228415
287.0,5.011764705882353
288.0,4.94576012223071
289.0,4.925133689839572
290.0,4.926203208556149
291.0,4.8930481283422465
292.0,4.877005347593583
293.0,4.8930481283422465
294.0,4.877005347593583
295.0,4.86096256684492
296.0,4.877005347593583
297.0,5.016671909405473
298.0,5.085561497326203
299.0,5.229946524064172
300.0,5.213903743315508
301.0,5.25462772521596
302.0,5.25462772521596
303.0,5.185026737967914
304.0,5.011764705882353
305.0,4.989304812834225
306.0,4.919786096256685
307.0,4.848694558037119
308.0,4.78288770053476
309.0,4.5300802139037435
310.0,4.419786096256685
311.0,4.145454545454545
312.0,4.006684491978609
313.0,3.7786918963389553
314.0,3.8622994652406417
315.0,3.884491978609625
316.0,3.894385026737968
317.0,3.932486631016043
318.0,3.999236058059587
319.0,3.9106637307329346
320.0,3.786096256684492
321.0,3.7700534759358284
322.0,3.7540106951871657
323.0,3.815713698066639
324.0,3.888770053475936
325.0,3.9267791032496917
326.0,4.140924819125511
327.0,4.317799847211612
328.0,4.358700123406006
329.0,4.588235294117647
330.0,4.588235294117647
331.0,4.588235294117647
332.0,4.588235294117647
333.0,4.442391832766164
334.0,4.403126285479226
335.0,4.3338426279602755
336.0,4.272315919374742
337.0,4.217792902284882
338.0,4.278838808250573
339.0,4.331550802139038
340.0,4.522176785152563
341.0,4.728918140682847
342.0,4.755538579067991
343.0,4.805429864253394
344.0,4.9411764705882355
345.0,4.9411764705882355
346.0,4.973262032085561
347.0,5.053475935828877
348.0,5.069518716577541
349.0,5.085561497326203
350.0,5.085561497326203
351.0,5.117647058823529
352.0,4.8794734677087614
353.0,4.7830404889228415
354.0,4.764705882352941
355.0,4.716577540106952
356.0,4.699300699300698
357.0,4.76840806252571
358.0,4.925133689839572
359.0,4.877005347593583
360.0,4.8449197860962565
361.0,4.773344302756067
362.0,4.716577540106952
363.0,4.668449197860962
364.0,4.636363636363637
365.0,4.540106951871658
366.0,4.420403126285479
367.0,4.370511841100077
368.0,4.334018922254216
369.0,4.299465240641711
370.0,4.283422459893048
371.0,4.401384083044983
372.0,4.475935828877005
373.0,4.43724441648317
374.0,4.403271469015413
375.0,4.379679144385027
376.0,4.328877005347593
377.0,4.074866310160428
378.0,3.9144385026737973
379.0,3.882352941176471
380.0,3.9937087134318965
381.0,4.0276816608996535
382.0,4.15307486631016
383.0,4.289438502673797
384.0,4.595639654463184
385.0,4.700534759358289
386.0,4.7599874174268635
387.0,4.804812834224599
388.0,4.748663101604278
389.0,4.732620320855615
390.0,4.510852469329978
391.0,4.283422459893048
392.0,4.271657754010695
393.0,4.254545454545455
394.0,4.325133689839573
395.0,4.40427807486631
396.0,4.543809132044426
397.0,4.414595784837999
398.0,4.367914438502673
399.0,4.405748663101604
400.0,4.431818181818182
401.0,4.470588235294118
402.0,4.499528153507393
