x,NO₂
288.0,40.5
291.0,76.0909090909091
293.0,71.5909090909091
294.0,69.54545454545455
295.0,65.04545454545455
296.0,60.54545454545455
297.0,57.27272727272727
298.0,57.68181818181818
299.0,59.31818181818181
300.0,62.590909090909086
301.0,65.04545454545455
302.0,70.36363636363637
303.0,73.63636363636364
304.0,76.5
305.0,73.63636363636364
306.0,72.81818181818181
307.0,72.81818181818181
308.0,72.81818181818181
311.0,45.81818181818181
312.0,42.54545454545455
313.0,38.04545454545455
314.0,38.04545454545455
315.0,39.68181818181818
316.0,42.54545454545455
317.0,44.18181818181818
318.0,45.0
319.0,46.227272727272734
320.0,49.090909090909086
324.0,28.22727272727273
325.0,22.909090909090907
326.0,22.5
327.0,26.590909090909093
330.0,76.9090909090909
331.0,77.72727272727273
334.0,64.22727272727272
335.0,62.590909090909086
336.0,60.95454545454545
337.0,58.90909090909091
338.0,58.5
339.0,58.90909090909091
343.0,33.13636363636363
344.0,25.363636363636363
345.0,22.5
346.0,22.09090909090909
347.0,26.18181818181818
348.0,32.31818181818181
353.0,63.409090909090914
354.0,59.31818181818181
355.0,55.63636363636363
356.0,52.36363636363636
357.0,51.95454545454545
358.0,54.0
359.0,55.63636363636363
362.0,29.863636363636367
363.0,26.18181818181818
364.0,22.09090909090909
365.0,21.272727272727273
366.0,27.0
367.0,29.863636363636367
371.0,73.22727272727272
372.0,68.72727272727273
373.0,64.63636363636363
374.0,59.727272727272734
375.0,56.45454545454546
376.0,54.40909090909091
377.0,54.40909090909091
378.0,56.45454545454546
379.0,57.68181818181818
382.0,33.54545454545455
383.0,30.272727272727273
384.0,23.727272727272727
385.0,23.31818181818182
386.0,28.636363636363637
387.0,38.04545454545455
390.0,55.63636363636363
391.0,50.31818181818182
392.0,46.63636363636364
393.0,46.227272727272734
394.0,46.227272727272734
395.0,45.40909090909091
396.0,46.63636363636364
397.0,49.090909090909086
398.0,51.13636363636364
401.0,30.272727272727273
402.0,29.045454545454547
403.0,22.909090909090907
404.0,20.863636363636363
405.0,22.09090909090909
406.0,27.40909090909091
407.0,31.90909090909091
