x,PM₂.₅
220.0,51.13636363636363
221.0,42.27272727272727
222.0,38.86363636363637
223.0,38.86363636363637
224.0,39.54545454545454
225.0,41.59090909090909
226.0,44.31818181818182
227.0,47.04545454545455
228.0,49.09090909090909
229.0,52.5
230.0,55.909090909090914
231.0,60.0
232.0,62.04545454545455
233.0,66.13636363636364
234.0,66.81818181818181
235.0,69.54545454545455
236.0,72.27272727272727
237.0,77.04545454545455
238.0,77.72727272727273
239.0,72.27272727272727
240.0,63.40909090909091
241.0,57.27272727272727
242.0,51.81818181818182
243.0,51.13636363636363
244.0,55.909090909090914
245.0,59.31818181818182
246.0,62.04545454545455
247.0,63.40909090909091
248.0,63.40909090909091
249.0,66.13636363636364
250.0,67.5
251.0,69.54545454545455
252.0,70.9090909090909
253.0,72.95454545454545
254.0,74.31818181818183
255.0,77.04545454545455
256.0,80.45454545454545
257.0,86.5909090909091
258.0,90.0
259.0,94.0909090909091
260.0,96.81818181818183
261.0,100.9090909090909
262.0,107.04545454545455
263.0,113.86363636363636
264.0,120.68181818181819
265.0,125.45454545454545
266.0,128.1818181818182
267.0,126.13636363636364
268.0,123.4090909090909
269.0,123.4090909090909
270.0,124.0909090909091
271.0,123.4090909090909
272.0,124.0909090909091
273.0,126.13636363636364
274.0,132.95454545454544
275.0,139.0909090909091
276.0,143.1818181818182
277.0,138.4090909090909
278.0,127.5
279.0,120.68181818181819
280.0,114.54545454545455
281.0,112.5
282.0,117.27272727272728
283.0,124.0909090909091
284.0,130.9090909090909
285.0,137.04545454545456
286.0,139.77272727272725
287.0,144.54545454545453
288.0,147.95454545454544
289.0,151.36363636363635
290.0,152.04545454545456
291.0,152.72727272727272
292.0,151.36363636363635
293.0,152.04545454545456
294.0,156.13636363636365
295.0,159.54545454545456
296.0,162.27272727272728
297.0,164.3181818181818
298.0,169.0909090909091
299.0,167.72727272727272
300.0,167.72727272727272
301.0,164.3181818181818
302.0,126.81818181818181
303.0,93.4090909090909
304.0,77.72727272727273
305.0,67.5
306.0,63.40909090909091
307.0,62.72727272727273
308.0,64.0909090909091
309.0,64.0909090909091
310.0,61.36363636363637
311.0,62.04545454545455
312.0,66.81818181818181
313.0,67.5
314.0,57.95454545454545
315.0,51.13636363636363
316.0,44.31818181818182
317.0,39.54545454545454
318.0,36.13636363636363
319.0,32.72727272727273
320.0,34.090909090909086
321.0,36.81818181818182
322.0,42.27272727272727
323.0,44.31818181818182
324.0,45.68181818181819
325.0,46.36363636363636
326.0,47.72727272727273
327.0,48.409090909090914
328.0,53.86363636363636
329.0,59.31818181818182
330.0,64.0909090909091
331.0,65.45454545454545
332.0,68.18181818181817
333.0,68.18181818181817
334.0,64.77272727272728
335.0,60.68181818181818
336.0,59.31818181818182
337.0,59.31818181818182
338.0,59.31818181818182
339.0,60.68181818181818
340.0,64.0909090909091
341.0,68.86363636363636
342.0,73.63636363636364
343.0,76.36363636363636
344.0,79.77272727272728
345.0,82.5
346.0,83.86363636363636
347.0,83.86363636363636
348.0,83.18181818181819
349.0,82.5
350.0,85.22727272727273
351.0,87.95454545454545
352.0,84.54545454545455
353.0,57.27272727272727
354.0,47.72727272727273
355.0,43.63636363636363
356.0,37.5
357.0,37.5
358.0,42.27272727272727
359.0,47.04545454545455
360.0,55.22727272727273
361.0,62.04545454545455
362.0,64.77272727272728
363.0,66.81818181818181
364.0,68.86363636363636
365.0,70.22727272727273
366.0,70.9090909090909
367.0,72.95454545454545
368.0,75.0
369.0,77.72727272727273
370.0,83.18181818181819
371.0,88.63636363636364
372.0,89.31818181818181
373.0,83.18181818181819
374.0,77.04545454545455
375.0,70.22727272727273
376.0,66.81818181818181
377.0,67.5
378.0,70.9090909090909
379.0,75.68181818181817
380.0,77.72727272727273
381.0,82.5
382.0,86.5909090909091
383.0,92.72727272727272
384.0,96.13636363636363
385.0,98.86363636363636
386.0,100.9090909090909
387.0,101.5909090909091
388.0,100.9090909090909
389.0,101.5909090909091
390.0,106.36363636363636
391.0,109.0909090909091
392.0,106.36363636363636
393.0,98.86363636363636
394.0,94.0909090909091
395.0,90.0
396.0,92.72727272727272
397.0,98.18181818181819
398.0,99.54545454545455
399.0,96.81818181818183
400.0,94.0909090909091
401.0,90.68181818181817
402.0,89.31818181818181
403.0,92.04545454545455
404.0,96.13636363636363
405.0,99.54545454545455
406.0,100.9090909090909
407.0,104.31818181818181
408.0,114.54545454545455
409.0,113.18181818181817
410.0,96.13636363636363
411.0,84.54545454545455
412.0,79.77272727272728
413.0,74.31818181818183
414.0,75.0
415.0,79.09090909090908
416.0,85.9090909090909
417.0,93.4090909090909
418.0,95.45454545454545
419.0,98.86363636363636
420.0,103.63636363636364
421.0,111.81818181818183
422.0,115.9090909090909
423.0,118.63636363636364
424.0,122.04545454545455
425.0,124.0909090909091
426.0,122.72727272727273
427.0,119.31818181818181
428.0,108.40909090909092
429.0,85.9090909090909
430.0,75.0
431.0,71.5909090909091
432.0,70.9090909090909
433.0,72.27272727272727
434.0,77.72727272727273
436.0,110.45454545454545
437.0,123.4090909090909
