x,PM₁₀
368.0,178.0
369.0,176.0
370.0,170.0
371.0,165.0
372.0,165.5
373.0,173.0
374.0,180.0
375.0,186.5
376.0,190.0
377.0,188.5
378.0,185.0
379.0,180.5
380.0,177.0
381.0,174.0
382.0,170.5
383.0,166.0
384.0,164.0
385.0,162.5
386.0,161.0
387.0,161.0
388.0,161.5
389.0,160.5
390.0,158.5
391.0,157.5
392.0,159.5
393.0,166.0
394.0,171.5
395.0,175.0
396.0,172.5
397.0,168.0
398.0,166.0
399.0,167.0
400.0,169.0
401.0,172.0
402.0,173.5
403.0,171.5
404.0,170.0
405.0,167.0
406.0,164.0
407.0,161.0
408.0,153.0
409.0,152.5
410.0,161.0
411.0,172.5
412.0,184.0
413.0,188.0
414.0,188.0
415.0,185.5
416.0,178.5
417.0,172.5
418.0,169.0
419.0,165.0
420.0,160.5
421.0,155.0
422.0,152.5
423.0,152.0
424.0,148.0
425.0,146.0
426.0,145.5
427.0,148.5
428.0,154.0
429.0,167.5
430.0,178.5
431.0,192.0
432.0,193.5
433.0,186.0
434.0,178.5
435.0,163.5
436.0,153.0
437.0,141.0
438.0,132.5
439.0,125.5
440.0,120.0
441.0,116.0
442.0,112.5
443.0,112.0
444.0,111.0
445.0,108.5
446.0,111.0
447.0,124.0
448.0,143.0
449.0,166.0
450.0,182.0
451.0,195.5
452.0,201.0
453.0,199.5
454.0,193.0
455.0,183.0
456.0,175.5
457.0,171.0
458.0,172.5
459.0,177.5
460.0,183.0
461.0,187.5
462.0,193.0
463.0,195.5
464.0,200.0
465.0,208.5
466.0,219.5
467.0,230.0
468.0,238.5
469.0,240.5
470.0,240.5
471.0,233.0
472.0,224.5
473.0,212.0
474.0,204.5
475.0,199.0
476.0,194.0
477.0,191.5
482.0,193.5
483.0,195.0
484.0,199.5
485.0,208.5
486.0,216.0
487.0,227.0
488.0,230.0
491.0,228.0
492.0,222.5
493.0,216.5
494.0,212.0
495.0,211.0
497.0,214.0
498.0,216.5
499.0,219.5
500.0,223.5
501.0,229.5
502.0,233.5
503.0,236.5
507.0,233.5
509.0,230.0
510.0,228.5
511.0,225.0
512.0,223.5
515.0,222.0
517.0,222.5
518.0,225.0
519.0,226.5
521.0,224.5
522.0,223.5
523.0,226.0
524.0,229.0
525.0,233.5
526.0,235.5
529.0,233.0
530.0,229.5
531.0,224.5
532.0,220.0
533.0,216.0
534.0,215.0
535.0,216.0
542.0,220.0
543.0,224.5
544.0,228.5
545.0,230.5
546.0,229.5
547.0,227.0
548.0,226.5
549.0,227.0
550.0,228.5
551.0,227.5
552.0,226.0
553.0,225.5
554.0,226.5
555.0,228.0
556.0,229.0
557.0,230.5
558.0,231.0
559.0,229.5
560.0,228.5
561.0,231.0
562.0,234.5
563.0,236.5
564.0,239.0
565.0,239.5
566.0,239.0
567.0,237.0
568.0,234.5
569.0,231.5
570.0,230.5
572.0,224.5
573.0,224.0
574.0,223.5
575.0,225.0
576.0,225.0
577.0,224.0
578.0,224.0
579.0,226.5
580.0,231.5
581.0,235.0
582.0,236.0
583.0,234.5
584.0,234.5
585.0,234.5
586.0,233.0
587.0,229.0
588.0,223.5
589.0,219.5
590.0,214.5
591.0,213.5
592.0,213.0
593.0,211.0
594.0,210.0
595.0,209.0
596.0,207.0
597.0,200.0
598.0,198.0
599.0,200.5
600.0,208.0
601.0,215.0
602.0,219.5
603.0,221.0
604.0,219.5
605.0,215.5
606.0,213.0
607.0,209.5
608.0,203.5
609.0,200.5
610.0,198.0
611.0,194.0
612.0,191.0
613.0,186.0
614.0,182.0
615.0,179.5
616.0,179.0
617.0,181.0
618.0,187.0
619.0,196.5
620.0,203.0
621.0,209.5
622.0,211.0
623.0,210.5
624.0,207.0
625.0,198.5
626.0,189.5
627.0,178.5
628.0,172.0
629.0,169.0
630.0,167.0
631.0,165.5
632.0,165.5
633.0,164.0
634.0,164.0
635.0,164.0
636.0,165.0
637.0,173.5
638.0,187.0
639.0,196.5
640.0,204.5
641.0,205.5
642.0,203.5
643.0,199.0
644.0,190.5
645.0,182.0
646.0,173.5
647.0,167.0
648.0,162.0
649.0,160.0
650.0,160.0
651.0,160.0
652.0,158.5
653.0,157.0
654.0,156.0
655.0,155.0
656.0,158.5
657.0,167.5
658.0,180.0
659.0,191.5
660.0,198.5
661.0,199.5
662.0,197.0
663.0,193.5
664.0,190.5
665.0,185.0
666.0,179.5
667.0,174.0
668.0,169.5
669.0,169.0
670.0,173.0
671.0,178.5
672.0,183.0
673.0,187.0
674.0,190.0
675.0,192.0
676.0,192.5
677.0,192.5
678.0,190.5
679.0,188.0
680.0,186.0
681.0,185.5
682.0,188.0
683.0,192.0
684.0,198.0
685.0,210.0
686.0,219.5
687.0,230.0
688.0,232.5
689.0,231.5
690.0,227.5
691.0,226.0
692.0,226.5
693.0,228.0
694.0,229.5
695.0,231.0
696.0,231.5
697.0,231.0
698.0,230.5
699.0,229.0
700.0,227.5
701.0,224.5
702.0,222.0
703.0,223.5
704.0,229.0
705.0,232.5
706.0,235.0
707.0,236.0
708.0,237.5
709.0,237.5
710.0,237.0
711.0,236.5
712.0,236.5
713.0,236.0
714.0,234.5
715.0,234.5
716.0,236.5
717.0,238.5
718.0,238.5
719.0,238.5
720.0,237.0
721.0,235.0
722.0,233.0
723.0,232.5
724.0,233.0
725.0,235.0
726.0,235.0
727.0,234.5
728.0,233.0
729.0,231.5
730.0,229.5
731.0,228.5
732.0,226.0
733.0,224.0
734.0,223.0
735.0,223.0
736.0,223.0
737.0,223.5
738.0,222.5
739.0,224.0
740.0,231.0
741.0,238.5
742.0,243.5
743.0,247.0
744.0,248.5
745.0,249.0
746.0,250.0
747.0,251.0
748.0,250.5
749.0,248.5
750.0,247.0
751.0,245.0
752.0,243.0
753.0,241.5
754.0,241.0
755.0,241.0
756.0,239.5
757.0,238.5
758.0,236.5
