x,Fe-containing
241.0,40.90909090909091
242.0,47.38636363636364
243.0,64.77272727272728
244.0,68.18181818181817
245.0,49.09090909090909
246.0,53.18181818181818
247.0,55.909090909090914
248.0,58.48484848484848
249.0,57.27272727272727
250.0,60.68181818181818
251.0,77.01581027667984
252.0,78.63636363636363
253.0,87.95454545454545
254.0,85.9090909090909
255.0,85.39772727272728
256.0,70.22727272727273
257.0,79.61538461538461
258.0,108.40909090909092
259.0,115.9090909090909
260.0,122.72727272727273
261.0,125.45454545454545
262.0,128.1818181818182
263.0,126.13636363636364
264.0,134.3181818181818
265.0,145.9090909090909
266.0,151.36363636363635
267.0,163.63636363636363
268.0,167.72727272727272
269.0,171.8181818181818
270.0,190.9090909090909
271.0,216.13636363636363
272.0,235.9090909090909
273.0,246.13636363636363
274.0,244.77272727272728
275.0,242.04545454545453
276.0,220.9090909090909
277.0,214.77272727272728
279.0,160.30303030303028
280.0,133.70454545454547
281.0,132.95454545454544
282.0,139.0909090909091
283.0,143.1818181818182
284.0,140.45454545454547
286.0,133.63636363636363
287.0,128.1818181818182
288.0,152.54784688995215
289.0,179.9173553719008
290.0,202.5
291.0,196.16883116883116
293.0,224.3181818181818
294.0,212.4025974025974
295.0,208.58391608391608
296.0,226.6071428571429
297.0,264.54545454545456
298.0,265.9090909090909
299.0,252.95454545454544
300.0,246.13636363636363
301.0,249.54545454545453
302.0,244.77272727272728
303.0,234.54545454545456
304.0,195.68181818181816
305.0,141.8181818181818
309.0,71.5909090909091
310.0,68.86363636363636
311.0,71.5909090909091
318.0,59.31818181818182
319.0,48.33333333333335
320.0,28.636363636363637
321.0,27.954545454545457
322.0,37.5
323.0,53.86363636363636
324.0,54.54545454545455
325.0,59.31818181818182
326.0,67.8409090909091
327.0,86.5909090909091
328.0,116.59090909090908
329.0,139.0909090909091
330.0,175.22727272727272
331.0,183.4090909090909
332.0,167.72727272727272
333.0,140.45454545454547
334.0,102.4586776859504
335.0,62.363636363636346
336.0,54.66942148760331
337.0,55.66115702479338
338.0,50.95041322314051
339.0,47.72727272727273
340.0,47.04545454545455
341.0,45.68181818181819
342.0,42.95454545454545
343.0,48.409090909090914
344.0,65.45454545454545
345.0,72.27272727272727
346.0,79.09090909090908
347.0,77.04545454545455
348.0,76.36363636363636
349.0,76.36363636363636
350.0,67.5
351.0,61.36363636363637
352.0,55.909090909090914
356.0,66.13636363636364
358.0,35.45454545454545
359.0,36.13636363636363
360.0,38.18181818181818
361.0,36.81818181818182
362.0,41.59090909090909
363.0,49.09090909090909
364.0,59.31818181818182
365.0,65.45454545454545
366.0,70.51948051948054
367.0,63.21428571428572
368.0,63.181818181818194
369.0,65.45454545454545
370.0,59.31818181818182
371.0,53.86363636363636
372.0,51.13636363636363
373.0,52.5
374.0,54.54545454545455
375.0,45.68181818181819
376.0,36.13636363636363
377.0,23.18181818181818
378.0,22.5
379.0,24.545454545454547
380.0,24.545454545454547
381.0,25.227272727272727
382.0,29.31818181818182
383.0,40.22727272727273
384.0,46.36363636363636
385.0,66.81818181818181
386.0,77.72727272727273
387.0,81.13636363636364
388.0,68.18181818181817
389.0,62.72727272727273
390.0,49.77272727272727
391.0,70.22727272727273
392.0,70.22727272727273
393.0,68.86363636363636
394.0,64.77272727272728
395.0,64.0909090909091
396.0,67.5
397.0,67.5
398.0,64.77272727272728
399.0,61.36363636363637
400.0,56.590909090909086
401.0,53.86363636363636
402.0,53.86363636363636
403.0,57.27272727272727
404.0,62.72727272727273
405.0,70.22727272727273
406.0,78.4090909090909
407.0,82.5
408.0,80.45454545454545
409.0,78.4090909090909
410.0,79.09090909090908
411.0,69.54545454545455
412.0,60.0
413.0,53.18181818181818
414.0,47.04545454545455
415.0,42.95454545454545
416.0,42.95454545454545
417.0,45.0
418.0,42.27272727272727
419.0,49.77272727272727
420.0,62.04545454545455
421.0,80.45454545454545
422.0,98.86363636363636
423.0,107.04545454545455
424.0,108.40909090909092
425.0,129.375
426.0,139.27272727272728
427.0,129.54545454545456
431.0,57.27272727272727
432.0,51.13636363636363
433.0,45.68181818181819
434.0,53.86363636363636
435.0,64.77272727272728
436.0,66.81818181818181
437.0,60.68181818181818
438.0,56.590909090909086
439.0,54.54545454545455
440.0,55.909090909090914
441.0,62.72727272727273
442.0,64.0909090909091
443.0,68.18181818181817
444.0,77.04545454545455
445.0,84.54545454545455
446.0,83.18181818181819
447.0,80.45454545454545
448.0,78.4090909090909
449.0,65.45454545454545
450.0,54.54545454545455
451.0,42.27272727272727
452.0,34.090909090909086
453.0,33.40909090909091
454.0,33.40909090909091
455.0,34.090909090909086
456.0,43.63636363636363
457.0,49.77272727272727
458.0,55.22727272727273
459.0,53.18181818181818
460.0,47.72727272727273
461.0,45.68181818181819
462.0,38.18181818181818
463.0,35.45454545454545
464.0,34.090909090909086
465.0,27.954545454545457
466.0,18.40909090909091
467.0,14.318181818181818
471.0,8.863636363636363
472.0,10.909090909090908
473.0,16.363636363636363
474.0,22.5
475.0,23.18181818181818
476.0,23.18181818181818
477.0,23.863636363636363
478.0,23.863636363636363
479.0,25.227272727272727
480.0,27.954545454545457
481.0,29.31818181818182
482.0,29.31818181818182
483.0,27.272727272727273
484.0,30.681818181818183
485.0,29.31818181818182
486.0,25.90909090909091
487.0,20.454545454545453
